Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 1/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 2/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 3/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 4/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 5/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 6/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 7/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 8/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 9/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:20 GMT | INFO | mobile.log | Scraping item 10/10 of page 113..... | 
Mon, 07 Feb 2022 18:35:22 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 113 | 
Mon, 07 Feb 2022 18:35:22 GMT | INFO | mobile.log | Successfully scraped 1160 till now | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Start scrapping page 114....... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 1/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 2/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 3/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 4/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 5/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 6/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 7/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 8/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 9/10 of page 114..... | 
Mon, 07 Feb 2022 18:35:24 GMT | INFO | mobile.log | Scraping item 10/10 of page 114..... | 
